country,country_code,region,wage_floor_usd_month,median_informal_wage_usd_month,sector_growth_pct,informal_employment_rate_pct,internet_penetration_pct,mobile_penetration_pct,youth_unemployment_pct,population_millions,gdp_per_capita_usd,gdp_growth_pct,returns_to_education_pct,gini_coefficient,urban_population_pct,electricity_access_pct,top_growth_sector_1,top_growth_sector_2,top_growth_sector_3,isco_demand_shift,ai_adoption_index,digital_jobs_share_pct,microfinance_access_pct,tvet_enrollment_pct,notes
Algeria,DZA,MENA,280,145,3.2,42.5,71.0,108.0,28.6,45.6,3800,3.4,8.2,27.6,74.2,99.2,ICT & Telecom,Renewable Energy,Construction & BTP,Technicians & Associate Professionals,0.31,18.4,22.1,12.4,Strong hydrocarbon base; youth bulge pressure; high informal sector in services
India,IND,South Asia,95,62,6.8,88.2,52.4,84.0,22.9,1428.6,2389,6.1,11.4,35.7,36.2,99.0,Fintech,Manufacturing,Digital Services,Professionals & Technicians,0.58,31.2,38.6,19.2,Largest informal workforce globally; rapid digital stack growth (UPI/ONDC)
Nigeria,NGA,Sub-Saharan Africa,58,40,4.1,92.3,43.2,91.0,42.5,223.8,2085,2.9,9.8,35.1,53.4,59.4,Fintech,Agriculture-Tech,Trade & Logistics,Service & Sales Workers,0.44,22.1,14.3,31.4,Largest African economy; severe informal dominance; mobile money growing
Kenya,KEN,Sub-Saharan Africa,110,72,5.3,85.6,41.0,113.0,35.1,55.1,1960,4.8,12.1,38.7,29.8,75.3,AgriTech,Fintech,Tourism,Service & Sales Workers,0.49,26.7,18.9,44.2,M-Pesa ecosystem leader; strong startup scene; climate-vulnerable agriculture
Ethiopia,ETH,Sub-Saharan Africa,32,21,7.6,95.1,22.4,42.0,29.4,126.5,1029,7.2,8.6,40.1,22.5,45.2,Textile & Apparel,Construction,Agriculture,Elementary & Craft Workers,0.28,11.3,8.7,19.8,Fastest-growing large African economy; high rural informality; low digital baseline
Ghana,GHA,Sub-Saharan Africa,88,54,4.9,86.4,68.3,121.0,38.2,33.5,2363,3.1,10.7,41.5,58.2,83.5,Mining,Digital Services,Construction,Technicians & Associate Professionals,0.41,28.4,17.6,36.5,Middle income trajectory; high mobile penetration; growing fintech hub
Bangladesh,BGD,South Asia,72,44,6.2,86.9,44.5,108.0,14.4,170.0,2765,5.8,9.3,32.4,39.8,97.3,Garment & RMG,Remittance Services,Digital BPO,Craft & Trades Workers,0.38,24.6,19.2,28.7,RMG dominant; remittance-driven consumption; strong garment formalization
Pakistan,PAK,South Asia,112,68,4.7,78.1,36.7,83.0,27.8,231.4,1658,2.7,7.9,29.8,38.4,88.6,Construction,Agriculture,IT Services,Service Workers & Operators,0.36,19.8,13.4,22.3,Large informal urban sector; low female labor force participation; CPEC growth driver
Egypt,EGY,MENA,95,58,4.4,52.3,75.9,99.0,22.3,105.5,3857,3.8,8.9,31.9,43.2,100.0,Tourism & Hospitality,ICT,Construction,Service & Sales Workers,0.34,29.3,21.7,18.6,Tourism recovery driving service sector; high educated unemployment; Nile corridor urbanization
Tanzania,TZA,Sub-Saharan Africa,65,38,6.8,91.2,29.7,83.0,31.5,63.7,1225,5.1,9.7,37.8,37.4,38.2,Agriculture,Mining,Trade & Logistics,Craft Workers & Elementary,0.37,15.6,9.8,34.1,High rural informality; mobile money strong; extractive sector growing
Morocco,MAR,MENA,320,178,4.1,67.2,88.1,131.0,26.9,37.7,3677,2.9,9.8,39.5,65.3,100.0,Tourism,Automotive,Renewable Energy,Technicians & Associate Professionals,0.42,33.7,22.9,21.4,Nearshore manufacturing hub; high formalization pressure; Atlantic Green Deal driver
Uganda,UGA,Sub-Saharan Africa,38,24,5.9,93.6,27.4,69.0,13.3,48.6,958,5.4,10.1,42.2,26.7,41.8,Agriculture,Trade,Construction,Elementary & Service Workers,0.43,13.2,8.1,29.6,Very young population; high agricultural informality; oil sector emerging
Cambodia,KHM,Southeast Asia,204,112,6.4,79.3,60.5,130.0,16.2,17.2,1768,5.2,9.2,37.3,24.6,97.4,Garment,Tourism,Digital Services,Craft & Service Workers,0.36,21.8,16.4,25.3,Garment sector formalizing; growing digital economy; strong ASEAN integration
