isco_code,isco_title,isco_major_group,task_routine_score,automation_probability,frey_osborne_category,ilo_risk_tier,manual_dexterity_index,social_perception_index,creative_intelligence_index,physical_demand_index,digital_augmentation_potential,lmic_displacement_timeline_years,at_risk_tasks,durable_tasks,resilience_pathway,green_economy_relevance,care_economy_relevance
7422,Electronics Mechanics and Servicers,7 - Craft & Related Trades,0.52,0.45,Medium Risk,Tier 2,0.78,0.45,0.32,0.61,0.72,8-12,"routine component replacement, diagnostic scripts, basic soldering","complex fault diagnosis, client communication, multi-brand troubleshooting","Specialize in IoT/EV repair; obtain CompTIA certification; shift to service management",High,Low
5221,Shop Salespersons,5 - Services & Sales,0.64,0.58,High Risk,Tier 2,0.29,0.71,0.38,0.21,0.61,5-9,"cashiering, stock counting, price labeling","customer trust-building, complex product advice, community credit","Pivot to social commerce; develop mobile money and fintech agent skills",Low,Medium
5246,Food Service Counter Attendants,5 - Services & Sales,0.71,0.65,High Risk,Tier 2,0.55,0.62,0.28,0.58,0.44,7-12,"order taking, cash handling, standardized preparation","cultural food knowledge, dietary advising, live cooking performance","Formalize food handling cert; shift to catering supervision or food safety",Low,Medium
8322,Car Van and Motorcycle Drivers,8 - Plant & Machine Operators,0.79,0.72,High Risk,Tier 3,0.41,0.54,0.18,0.71,0.55,10-18,"fixed-route driving, toll payment, fuel management","navigation in unstructured environments, emergency response, cargo integrity","Transition to fleet management or logistics coordination roles",Medium,Low
7531,Tailors Dressmakers Furriers and Hatters,7 - Craft & Related Trades,0.48,0.41,Medium Risk,Tier 2,0.88,0.42,0.61,0.74,0.51,10-15,"straight-line stitching, standard pattern cutting, hemming","custom design, client consultation, cultural garment making","Develop design skills; integrate with e-commerce platforms",Low,Medium
6111,Field Crop and Vegetable Growers,6 - Skilled Agricultural,0.61,0.54,Medium Risk,Tier 2,0.72,0.38,0.29,0.89,0.48,12-20,"manual weeding, crop gathering, irrigation opening","soil health assessment, weather adaptation, cooperative management","Integrate precision agri tools; join climate-smart farming programs",High,Low
9312,Building Frame and Related Trades Helpers,9 - Elementary Occupations,0.82,0.78,High Risk,Tier 3,0.61,0.28,0.12,0.92,0.32,8-14,"material carrying, mixing, digging, lifting","site coordination, safety oversight, equipment troubleshooting","Obtain safety certification; upskill to supervisory or specialized craft role",Medium,Low
5141,Hairdressers,5 - Services & Sales,0.22,0.18,Low Risk,Tier 1,0.91,0.82,0.54,0.48,0.38,15+,"routine hair washing, standard cuts","creative styling, client relationship, scalp health advice, cultural hair practices","Formalize as licensed stylist; expand to training others or product line",Low,High
7212,Welders and Flamecutters,7 - Craft & Related Trades,0.58,0.51,Medium Risk,Tier 2,0.82,0.31,0.24,0.88,0.61,9-15,"standard seam welding, repetitive joint work","blueprint interpretation, specialty alloy welding, quality inspection","Specialize in structural or pipeline; pursue AWS certification",High,Low
5151,Cleaning and Housekeeping Supervisors,5 - Services & Sales,0.38,0.31,Low Risk,Tier 1,0.62,0.71,0.28,0.72,0.42,15+,"standard cleaning routines, supply restocking","household management, special needs care, security-adjacent tasks","Formalize through domestic worker association; move into facility management",Low,High
6221,Aquaculture Workers,6 - Skilled Agricultural,0.54,0.47,Medium Risk,Tier 2,0.71,0.42,0.31,0.82,0.54,12-18,"net casting, manual harvesting, boat rowing","fish health monitoring, equipment maintenance, market negotiation","Integrate IoT water sensors; shift to aquaculture supervisor or fish trader",High,Low
3311,Securities and Finance Dealers,3 - Technicians,0.68,0.61,High Risk,Tier 2,0.12,0.58,0.49,0.11,0.88,4-8,"standardized credit scoring, basic transaction processing","community trust arbitration, informal credit risk assessment, relationship banking","Formalize through microfinance; SACCO or fintech agent certification",Medium,Low
