informal_skill,informal_skill_alias,isco_code,isco_title,isco_major_group,skill_cluster,transferable_skills,durable_adjacent_skills,certification_pathway,formalization_ease
Phone Repair,Mobile Device Technician,7422,Electronics Mechanics and Servicers,7 - Craft & Related Trades,ICT Hardware,"diagnostic reasoning, component soldering, customer communication","IoT device configuration, EV battery servicing, network installation",CompTIA A+ / ILO-TVET,Medium
Phone Stall Operator,Mobile Accessories Retailer,5221,Shop Salespersons,5 - Services & Sales,Retail Trade,"inventory management, customer negotiation, cash handling","e-commerce logistics, mobile money agent, supply chain coordination",TVET Retail / Microenterprise Certificate,High
Street Food Vendor,Informal Food Retailer,5246,Food Service Counter Attendants,5 - Services & Sales,Food & Beverage,"food safety knowledge, portion control, cash management","food quality inspector, catering supervisor, health & safety officer",Food Handler Certificate / HACCP,High
Motorcycle Taxi Driver,Boda-Boda / Okada Rider,8322,Car Van and Motorcycle Drivers,8 - Plant & Machine Operators,Transport,"route optimization, passenger safety, traffic navigation","logistics coordinator, ride-hailing fleet manager, last-mile delivery supervisor",Commercial Driver License / Digital Platform Onboarding,Medium
Market Trader,Informal Market Vendor,5221,Shop Salespersons,5 - Services & Sales,Retail Trade,"price negotiation, demand forecasting, supplier relations","procurement officer, retail store manager, trade finance officer",Microenterprise Certification / Chamber of Commerce,High
Tailor / Seamstress,Informal Garment Maker,7531,Tailors Dressmakers Furriers and Hatters,7 - Craft & Related Trades,Textile & Apparel,"pattern cutting, machine operation, quality inspection","fashion production supervisor, textile QA inspector, CAD garment designer",City & Guilds Clothing / TVET Textiles,Medium
Agricultural Day Laborer,Seasonal Farm Worker,6111,Field Crop and Vegetable Growers,6 - Skilled Agricultural,Agriculture,"crop knowledge, manual harvesting, irrigation basics","precision agriculture technician, agrochemical distributor, cooperative farm manager",TVET Agriculture / Farmer Field Schools,Low
Construction Day Laborer,Informal Site Worker,9312,Building Frame and Related Trades Helpers,9 - Elementary Occupations,Construction,"materials handling, scaffolding, site safety basics","construction site supervisor, safety officer, building materials inspector",COREN / NVQ Construction,Low
Hairdresser / Barber,Informal Salon Operator,5141,Hairdressers,5 - Services & Sales,Personal Services,"hair cutting, chemical application, sanitation","cosmetology instructor, salon manager, beauty product distributor",City & Guilds Beauty / State Board License,High
Welding & Metalwork,Informal Welder,7212,Welders and Flamecutters,7 - Craft & Related Trades,Metal Fabrication,"arc welding, metal cutting, blueprint reading","structural steel inspector, welding engineer assistant, CNC operator",AWS Certification / TVET Welding,Medium
Domestic Worker,Household Services Provider,5151,Cleaning and Housekeeping Supervisors,5 - Services & Sales,Domestic Services,"household management, childcare, elderly care","care worker, facility management, hotel housekeeping supervisor",TVET Domestic Services / ILO Domestic Worker Convention,High
Fishing (Artisanal),Small-Scale Fisher,6221,Aquaculture Workers,6 - Skilled Agricultural,Fisheries & Aquaculture,"net handling, fish identification, boat navigation","aquaculture farm supervisor, fish quality grader, marine safety inspector",TVET Fisheries / Marine Certificate,Low
Informal Moneylender,Community Finance Agent,3311,Securities and Finance Dealers and Brokers,3 - Technicians,Finance & Banking,"credit risk assessment, record keeping, community trust","mobile money agent, microfinance officer, SACCO branch officer",AML Certificate / CFA Foundation,Medium
